onset,type,stim
81700,picture,wordEF04.png
81800,picture,wordEF14.png
81900,picture,wordEF15.png
82000,picture,wordEF02.png
82100,picture,wordEF01.png
82200,picture,wordEF10.png
82300,picture,wordEF06.png
82400,picture,wordEF07.png
82500,picture,wordEF11.png
82600,picture,wordEF03.png
82700,picture,wordEF13.png
82800,picture,wordEF17.png
82900,picture,wordEF12.png
88900,picture,wordC03.png
89000,picture,wordC14.png
89100,picture,wordC11.png
89200,picture,wordC07.png
89300,picture,wordC02.png
89400,picture,wordC20.png
89500,picture,wordC04.png
89600,picture,wordC12.png
89700,picture,wordC10.png
89800,picture,wordC09.png
89900,picture,wordC01.png
90000,picture,wordC17.png
90100,picture,wordC19.png
90200,picture,wordC05.png
90300,picture,wordC15.png
90400,picture,wordC16.png
90500,picture,wordC13.png
90600,picture,wordC08.png
90700,picture,wordC18.png
90800,picture,wordC06.png
96800,picture,wordEF17.png
96900,picture,wordEF14.png
97000,picture,wordEF05.png
97100,picture,wordEF07.png
97200,picture,wordEF19.png
97300,picture,wordEF10.png
97400,picture,wordEF12.png
97500,picture,wordEF02.png
97600,picture,wordEF13.png
97700,picture,wordEF20.png
97800,picture,wordEF08.png
97900,picture,wordEF11.png
98000,picture,wordEF03.png
98100,picture,wordEF06.png
98200,picture,wordEF01.png
98300,picture,wordEF18.png
98400,picture,wordEF16.png
98500,picture,wordEF04.png
98600,picture,wordEF09.png
98700,picture,wordEF15.png
104700,picture,wordC16.png
104800,picture,wordC05.png
104900,picture,wordC10.png
105000,picture,wordC08.png
105100,picture,wordC04.png
105200,picture,wordC19.png
105300,picture,wordC01.png
105400,picture,wordC06.png
105500,picture,wordC20.png
105600,picture,wordC07.png
105700,picture,wordC11.png
105800,picture,wordC14.png
105900,picture,wordC12.png
106000,picture,wordC03.png
106100,picture,wordC02.png
106200,picture,wordC15.png
106300,picture,wordC09.png
106400,picture,wordC13.png
106500,picture,wordC17.png
106600,picture,wordC18.png
112600,picture,emoji08.png
112700,picture,emoji10.png
112800,picture,emoji14.png
112900,picture,emoji17.png
113000,picture,emoji12.png
113100,picture,emoji13.png
113200,picture,emoji19.png
113300,picture,emoji02.png
113400,picture,emoji11.png
113500,picture,emoji01.png
113600,picture,emoji20.png
113700,picture,emoji07.png
113800,picture,emoji15.png
113900,picture,emoji04.png
114000,picture,emoji06.png
114100,picture,emoji03.png
114200,picture,emoji18.png
114300,picture,star.png
114400,picture,emoji16.png
114500,picture,emoji05.png
120500,picture,wordEF20.png
120600,picture,wordEF06.png
120700,picture,wordEF11.png
120800,picture,wordEF14.png
120900,picture,wordEF09.png
121000,picture,wordEF01.png
121100,picture,wordEF15.png
121200,picture,wordEF13.png
121300,picture,wordEF07.png
121400,picture,wordEF08.png
121500,picture,wordEF03.png
121600,picture,wordEF10.png
121700,picture,wordEF19.png
121800,picture,wordEF12.png
121900,picture,wordEF16.png
122000,picture,star.png
122100,picture,wordEF04.png
122200,picture,wordEF18.png
122300,picture,wordEF02.png
122400,picture,wordEF05.png
128400,picture,face15.png
128500,picture,face10.png
128600,picture,face11.png
128700,picture,face18.png
128800,picture,face09.png
128900,picture,face04.png
129000,picture,face13.png
129100,picture,face17.png
129200,picture,face02.png
129300,picture,face06.png
129400,picture,face07.png
129500,picture,face03.png
129600,picture,face12.png
129700,picture,face19.png
129800,picture,face14.png
129900,picture,face20.png
130000,picture,face05.png
130100,picture,face01.png
130200,picture,face16.png
130300,picture,face08.png
136300,picture,Mu09.png
136400,picture,Mu13.png
136500,picture,Mu12.png
136600,picture,Mu08.png
136700,picture,Mu03.png
136800,picture,Mu19.png
136900,picture,Mu01.png
137000,picture,Mu10.png
137100,picture,Mu17.png
137200,picture,Mu02.png
137300,picture,Mu11.png
137400,picture,Mu05.png
137500,picture,Mu07.png
137600,picture,Mu20.png
137700,picture,Mu18.png
137800,picture,Mu14.png
137900,picture,Mu06.png
138000,picture,Mu15.png
138100,picture,Mu16.png
138200,picture,Mu04.png
