Pseudoword,Word,Lemma,prs,n_morphemes,Length
lyisante,luisante,luire,"(0, 1, 1)",2,8
lithiung,lithium,lith,"(0, 1, 1)",2,8
flwidité,fluidité,flux,"(0, 1, 2)",3,8
finarité,finalité,fin,"(0, 1, 2)",3,8
listingg,listing,liste,"(0, 1, 1)",2,8
palodiai,parodiai,parodie,"(0, 1, 1)",2,8
palisien,parisien,pari,"(0, 1, 1)",2,8
paperard,papelard,papel,"(0, 1, 1)",2,8
pagniqué,paniqué,panique,"(0, 1, 1)",2,8
paisibre,paisible,paix,"(0, 1, 1)",2,8
présemta,présenta,présent,"(0, 1, 1)",2,8
plésager,présager,présage,"(0, 1, 1)",2,8
malécage,marécage,marais,"(0, 1, 1)",2,8
marlette,mallette,malle,"(0, 1, 1)",2,8
presseyr,presseur,press,"(0, 1, 1)",2,8
oyblieux,oublieux,oubli,"(0, 1, 1)",2,8
osswaire,ossuaire,os,"(0, 1, 1)",2,8
ossatyre,ossature,os,"(0, 1, 1)",2,8
originar,original,origine,"(0, 1, 1)",2,8
oriegnte,oriente,orient,"(0, 1, 1)",2,8
orientar,oriental,orient,"(0, 1, 1)",2,8
oldurier,ordurier,ordure,"(0, 1, 1)",2,8
olatoire,oratoire,or,"(0, 1, 1)",2,8
olageuse,orageuse,orage,"(0, 1, 1)",2,8
opwlence,opulence,opulent,"(0, 1, 1)",2,8
owvreuse,ouvreuse,ouvrir,"(0, 1, 1)",2,8
owtrages,outrages,outrer,"(0, 1, 1)",2,8
plincier,princier,prince,"(0, 1, 1)",2,8
ondurait,ondulait,onde,"(0, 1, 1)",2,8
plobants,probants,prob,"(0, 1, 1)",2,8
officiel,officier,office,"(0, 1, 1)",2,8
pénaldes,pénardes,pén,"(0, 1, 1)",2,8
pawsanne,paysanne,pays,"(0, 1, 1)",2,8
pallotes,parlotes,parler,"(0, 1, 1)",2,8
parkigng,parking,park,"(0, 1, 1)",2,8
palfaire,parfaire,parfait,"(0, 1, 1)",2,8
paregnté,parenté,parer,"(0, 1, 1)",2,8
offlande,offrande,offre,"(0, 1, 1)",2,8
noyrrice,nourrice,nourrir,"(0, 1, 1)",2,8
gnoineau,moineau,moine,"(0, 1, 1)",2,8
gninimum,minimum,minime,"(0, 1, 1)",2,8
gnillion,million,mille,"(0, 1, 1)",2,8
mirliard,milliard,mille,"(0, 1, 1)",2,8
meetigng,meeting,meet,"(0, 1, 1)",2,8
ngettoie,nettoie,net,"(0, 1, 1)",2,8
nerveyse,nerveuse,nerf,"(0, 1, 1)",2,8
poivlons,poivrons,poivre,"(0, 1, 1)",2,8
plamning,planning,plan,"(0, 1, 1)",2,8
pistoret,pistolet,pistol,"(0, 1, 1)",2,8
pimpamte,pimpante,pimp,"(0, 1, 1)",2,8
pétangte,pétante,pét,"(0, 1, 1)",2,8
officier,officiel,office,"(0, 1, 1)",2,8
offegnsé,offensé,offense,"(0, 1, 1)",2,8
oculaile,oculaire,ocul,"(0, 1, 1)",2,8
occwpant,occupant,occuper,"(0, 1, 1)",2,8
obsédamt,obsédant,obséder,"(0, 1, 1)",2,8
obsculci,obscurci,obscur,"(0, 1, 1)",2,8
opignion,opinion,opin,"(0, 1, 1)",2,8
opélette,opérette,opérer,"(0, 1, 1)",2,8
onziènge,onzième,onze,"(0, 1, 1)",2,8
qyerella,querella,querelle,"(0, 1, 1)",2,8
purulemt,purulent,puruler,"(0, 1, 1)",2,8
pwrgatif,purgatif,purge,"(0, 1, 1)",2,8
plopreté,propreté,propre,"(0, 1, 1)",2,8
ceintula,ceintura,ceindre,"(0, 1, 2)",3,8
almurier,armurier,arme,"(0, 1, 2)",3,8
actiomne,actionne,acte,"(0, 1, 2)",3,8
présemce,présence,présent,"(0, 1, 1)",2,8
nuisibre,nuisible,nuire,"(0, 1, 1)",2,8
noweuses,noueuses,nou,"(0, 1, 1)",2,8
gnotaire,notaire,note,"(0, 1, 1)",2,8
noldique,nordique,nord,"(0, 1, 1)",2,8
moisette,noisette,noix,"(0, 1, 1)",2,8
ngévrose,névrose,nerf,"(0, 1, 1)",2,8
meuvième,neuvième,neuf,"(0, 1, 1)",2,8
ngeutron,neutron,neutre,"(0, 1, 1)",2,8
nationar,national,nation,"(0, 1, 1)",2,8
nasaldes,nasardes,nez,"(0, 1, 1)",2,8
nalratif,narratif,narrer,"(0, 1, 1)",2,8
nappelon,napperon,nappe,"(0, 1, 1)",2,8
qyadrant,quadrant,quatre,"(0, 1, 1)",2,8
purpeuse,pulpeuse,pulpe,"(0, 1, 1)",2,8
prungeau,pruneau,prune,"(0, 1, 1)",2,8
volacité,voracité,vore,"(0, 1, 2)",3,8
vitarité,vitalité,vivre,"(0, 1, 2)",3,8
vélacité,véracité,vérité,"(0, 1, 2)",3,8
ventiros,ventilos,vent,"(0, 1, 2)",3,8
témacité,ténacité,tén,"(0, 1, 2)",3,8
ranifier,ramifier,rame,"(0, 1, 1)",2,8
raisomne,raisonne,raison,"(0, 1, 1)",2,8
lailleur,railleur,railler,"(0, 1, 1)",2,8
radotewr,radoteur,radoter,"(0, 1, 1)",2,8
légalait,régalait,régal,"(0, 1, 1)",2,8
lectifia,rectifia,rect,"(0, 1, 1)",2,8
radicare,radicale,radic,"(0, 1, 1)",2,8
lacolage,racolage,racoler,"(0, 1, 1)",2,8
lacistes,racistes,race,"(0, 1, 1)",2,8
laboteur,raboteur,rabot,"(0, 1, 1)",2,8
labotage,rabotage,rabot,"(0, 1, 1)",2,8
qyiétude,quiétude,quiet,"(0, 1, 1)",2,8
qyêteurs,quêteurs,quête,"(0, 1, 1)",2,8
somorité,sonorité,son,"(0, 1, 2)",3,8
pwanteur,puanteur,pu,"(0, 1, 2)",3,8
camasson,canasson,canard,"(0, 1, 2)",3,8
gnazisme,nazisme,nazi,"(0, 1, 1)",2,8
naytique,nautique,naute,"(0, 1, 1)",2,8
nayséeux,nauséeux,nausée,"(0, 1, 1)",2,8
nayfragé,naufragé,naufrage,"(0, 1, 1)",2,8
ragnages,ramages,rame,"(0, 1, 1)",2,8
râlenent,râlement,râle,"(0, 1, 1)",2,8
rembarle,remballe,balle,"(2, 1, 1)",4,8
ramorlis,ramollis,mou,"(2, 1, 1)",4,8
ragnassa,ramassa,masser,"(2, 1, 1)",4,8
rarlonge,rallonge,long,"(2, 1, 1)",4,8
ralegnti,ralenti,lent,"(2, 1, 1)",4,8
nythique,mythique,mythe,"(0, 1, 1)",2,8
mustique,mystique,myst,"(0, 1, 1)",2,8
gnutisme,mutisme,muter,"(0, 1, 1)",2,8
mwsicien,musicien,musique,"(0, 1, 1)",2,8
lentable,rentable,rente,"(0, 1, 1)",2,8
renawder,renauder,renaud,"(0, 1, 1)",2,8
rengédié,remédié,remède,"(0, 1, 1)",2,8
reraxant,relaxant,relax,"(0, 1, 1)",2,8
legardée,regardée,regard,"(0, 1, 1)",2,8
morarité,moralité,moral,"(0, 1, 1)",2,8
ngonteur,monteur,monter,"(0, 1, 1)",2,8
ngontant,montant,monter,"(0, 1, 1)",2,8
ngontage,montage,monter,"(0, 1, 1)",2,8
mongdial,mondial,monde,"(0, 1, 1)",2,8
inaperçy,inaperçu,perçu,"(2, 1, 0)",3,8
receveyr,receveur,recevoir,"(0, 1, 1)",2,8
leceleur,receleur,recel,"(0, 1, 1)",2,8
léalités,réalités,réel,"(0, 1, 1)",2,8
lapidité,rapidité,rapid,"(0, 1, 1)",2,8
gnusette,musette,mus,"(0, 1, 1)",2,8
mowvance,mouvance,mouvoir,"(0, 1, 1)",2,8
mowlures,moulures,moul,"(0, 1, 1)",2,8
mourinet,moulinet,moulin,"(0, 1, 1)",2,8
nouchoir,mouchoir,mouche,"(0, 1, 1)",2,8
mowchard,mouchard,mouche,"(0, 1, 1)",2,8
rouquing,rouquin,roux,"(0, 1, 1)",2,8
rowgeaud,rougeaud,rouge,"(0, 1, 1)",2,8
ligolard,rigolard,rigoler,"(0, 1, 1)",2,8
lépliqua,répliqua,réplique,"(0, 1, 1)",2,8
modurait,modulait,module,"(0, 1, 1)",2,8
légulier,régulier,règle,"(0, 1, 1)",2,8
laffermi,raffermi,ferme,"(2, 1, 1)",4,8
lamassis,ramassis,masser,"(2, 1, 1)",4,8
sulélevé,surélevé,lever,"(2, 1, 0)",3,8
lapporte,rapporte,porte,"(2, 1, 0)",3,8
lapporta,rapporta,porter,"(2, 1, 0)",3,8
rarliait,ralliait,lier,"(2, 1, 0)",3,8
moltifia,mortifia,mort,"(0, 1, 1)",2,8
gnorsure,morsure,mors,"(0, 1, 1)",2,8
morphime,morphine,morph,"(0, 1, 1)",2,8
molosité,morosité,morose,"(0, 1, 1)",2,8
miséreyx,miséreux,misère,"(0, 1, 1)",2,8
miloiter,miroiter,mir,"(0, 1, 1)",2,8
ngirette,mirette,mir,"(0, 1, 1)",2,8
minwteur,minuteur,minute,"(0, 1, 1)",2,8
mignceur,minceur,mince,"(0, 1, 1)",2,8
swrsauta,sursauta,saut,"(1, 1, 1)",3,8
surgerée,surgelée,gel,"(1, 1, 1)",3,8
résurtat,résultat,résulter,"(0, 1, 1)",2,8
lepérage,repérage,repère,"(0, 1, 1)",2,8
lemuante,remuante,remuer,"(0, 1, 1)",2,8
reliqyat,reliquat,relique,"(0, 1, 1)",2,8
lelatifs,relatifs,relation,"(0, 1, 1)",2,8
morlesse,mollesse,mou,"(0, 1, 1)",2,8
rythngée,rythmée,rythme,"(0, 1, 1)",2,8
ludoyant,rudoyant,rude,"(0, 1, 1)",2,8
ludement,rudement,rude,"(0, 1, 1)",2,8
regnfort,renfort,fort,"(2, 1, 0)",3,8
lendorme,rendorme,dormir,"(2, 1, 0)",3,8
léactiva,réactiva,acte,"(1, 1, 2)",4,8
nilitant,militant,milit,"(0, 1, 1)",2,8
mierleux,mielleux,miel,"(0, 1, 1)",2,8
mexicaim,mexicain,mexic,"(0, 1, 1)",2,8
ngetteur,metteur,mettre,"(0, 1, 1)",2,8
nétisser,métisser,métis,"(0, 1, 1)",2,8
merdiqye,merdique,merde,"(0, 1, 1)",2,8
ngenteur,menteur,mentir,"(0, 1, 1)",2,8
ngenotté,menotté,menotte,"(0, 1, 1)",2,8
nendiant,mendiant,mendier,"(0, 1, 1)",2,8
mégnager,ménager,ménage,"(0, 1, 1)",2,8
nodestie,modestie,modeste,"(0, 1, 1)",2,8
mobirité,mobilité,mobile,"(0, 1, 1)",2,8
mobirisé,mobilisé,mobile,"(0, 1, 1)",2,8
létracte,rétracte,tract,"(1, 1, 1)",3,8
résognna,résonna,son,"(1, 1, 1)",3,8
lemercia,remercia,merci,"(1, 1, 1)",3,8
lemarche,remarche,marche,"(1, 1, 1)",3,8
lotative,rotative,rot,"(0, 1, 1)",2,8
lotation,rotation,rot,"(0, 1, 1)",2,8
romgeurs,rongeurs,ronger,"(0, 1, 1)",2,8
ronderle,rondelle,rond,"(0, 1, 1)",2,8
rongaine,romaine,rome,"(0, 1, 1)",2,8
locheuse,rocheuse,roche,"(0, 1, 1)",2,8
rocairle,rocaille,roc,"(0, 1, 1)",2,8
livalité,rivalité,rival,"(0, 1, 1)",2,8
ritwelle,rituelle,rite,"(0, 1, 1)",2,8
lichesse,richesse,riche,"(0, 1, 1)",2,8
lévérend,révérend,révérer,"(0, 1, 1)",2,8
ignprévu,imprévu,vue,"(2, 1, 0)",3,8
sadisgne,sadisme,sade,"(0, 1, 1)",2,8
sabotiel,sabotier,sabot,"(0, 1, 1)",2,8
loutière,routière,route,"(0, 1, 1)",2,8
royquine,rouquine,rou,"(0, 1, 1)",2,8
rourotte,roulotte,rouler,"(0, 1, 1)",2,8
rowlette,roulette,rouler,"(0, 1, 1)",2,8
mémolial,mémorial,mémoire,"(0, 1, 1)",2,8
scangner,scanner,scan,"(0, 1, 1)",2,8
savouard,savoyard,savoie,"(0, 1, 1)",2,8
savomner,savonner,savon,"(0, 1, 1)",2,8
sangrota,sanglota,sanglot,"(0, 1, 1)",2,8
sarement,salement,sale,"(0, 1, 1)",2,8
mélagngé,mélangé,mélange,"(0, 1, 1)",2,8
roylante,roulante,rouler,"(0, 1, 1)",2,8
lougeole,rougeole,rouge,"(0, 1, 1)",2,8
réveirla,réveilla,éveil,"(1, 1, 1)",3,8
refruait,refluait,flux,"(1, 1, 1)",3,8
redoubra,redoubla,double,"(1, 1, 1)",3,8
lecycler,recycler,cycle,"(1, 1, 1)",3,8
recorler,recoller,colle,"(1, 1, 1)",3,8
lecoiffa,recoiffa,coiffe,"(1, 1, 1)",3,8
saropard,salopard,salop,"(0, 1, 1)",2,8
sarigaud,saligaud,sale,"(0, 1, 1)",2,8
matelner,materner,mère,"(0, 1, 1)",2,8
massaclé,massacré,massacre,"(0, 1, 1)",2,8
nasquage,masquage,masque,"(0, 1, 1)",2,8
malxiste,marxiste,marx,"(0, 1, 1)",2,8
maltinet,martinet,martin,"(0, 1, 1)",2,8
malocain,marocain,maroc,"(0, 1, 1)",2,8
naritaux,maritaux,mari,"(0, 1, 1)",2,8
margerle,margelle,marge,"(0, 1, 1)",2,8
saradier,saladier,salade,"(0, 1, 1)",2,8
sociabre,sociable,socio,"(0, 1, 1)",2,8
sixiènge,sixième,six,"(0, 1, 1)",2,8
sismiqye,sismique,séisme,"(0, 1, 1)",2,8
ngafieux,mafieux,mafia,"(0, 1, 1)",2,8
sécwrité,sécurité,sécure,"(0, 1, 1)",2,8
secoyrir,secourir,secour,"(0, 1, 1)",2,8
sécateyr,sécateur,séc,"(0, 1, 1)",2,8
scénalio,scénario,scène,"(0, 1, 1)",2,8
savagnte,savante,savoir,"(0, 1, 1)",2,8
sawvette,sauvette,sauver,"(0, 1, 1)",2,8
saugnure,saumure,saum,"(0, 1, 1)",2,8
lelooker,relooker,look,"(1, 1, 1)",3,8
siffrota,sifflota,siffler,"(0, 1, 1)",2,8
sérectif,sélectif,sélect,"(0, 1, 1)",2,8
secongdé,secondé,second,"(0, 1, 1)",2,8
réforgna,réforma,forme,"(1, 1, 1)",3,8
loimtain,lointain,loin,"(0, 1, 1)",2,8
rogement,logement,loge,"(0, 1, 1)",2,8
rocation,location,louer,"(0, 1, 1)",2,8
seuantes,seyantes,sey,"(0, 1, 1)",2,8
sexuerle,sexuelle,sexe,"(0, 1, 1)",2,8
sévélité,sévérité,sévère,"(0, 1, 1)",2,8
sélénité,sérénité,serein,"(0, 1, 1)",2,8
sengteur,senteur,sentir,"(0, 1, 1)",2,8
sénateul,sénateur,sénat,"(0, 1, 1)",2,8
séminayx,séminaux,semence,"(0, 1, 1)",2,8
majolité,majorité,majeur,"(0, 1, 1)",2,8
maîtlisa,maîtrisa,maître,"(0, 1, 1)",2,8
naigreur,maigreur,maigre,"(0, 1, 1)",2,8
ngagique,magique,mage,"(0, 1, 1)",2,8
soûlongs,soûlons,saoul,"(0, 1, 1)",2,8
sowhaita,souhaita,souhait,"(0, 1, 1)",2,8
rocalise,localise,local,"(0, 1, 1)",2,8
sqyatter,squatter,squat,"(0, 1, 1)",2,8
spectlal,spectral,spectre,"(0, 1, 1)",2,8
soyrdait,sourdait,sourd,"(0, 1, 1)",2,8
ringerie,lingerie,linge,"(0, 1, 1)",2,8
reboycla,reboucla,boucle,"(1, 1, 1)",3,8
lebondir,rebondir,bond,"(1, 1, 1)",3,8
lacontes,racontes,conte,"(1, 1, 1)",3,8
labougri,rabougri,bougre,"(1, 1, 1)",3,8
plolonge,prolonge,long,"(1, 1, 1)",3,8
mâchoile,mâchoire,mâcher,"(0, 1, 1)",2,8
machinar,machinal,machine,"(0, 1, 1)",2,8
rynchage,lynchage,lyncher,"(0, 1, 1)",2,8
rucidité,lucidité,lucide,"(0, 1, 1)",2,8
louldeur,lourdeur,lourd,"(0, 1, 1)",2,8
longweur,longueur,long,"(0, 1, 1)",2,8
songdage,sondage,sonde,"(0, 1, 1)",2,8
solitwde,solitude,solit,"(0, 1, 1)",2,8
soridité,solidité,solide,"(0, 1, 1)",2,8
solailes,solaires,sol,"(0, 1, 1)",2,8
soielies,soieries,soie,"(0, 1, 1)",2,8
sobliété,sobriété,sobre,"(0, 1, 1)",2,8
sinysite,sinusite,sinus,"(0, 1, 1)",2,8
sinweuse,sinueuse,sinuer,"(0, 1, 1)",2,8
rimitait,limitait,limite,"(0, 1, 1)",2,8
rimaille,limaille,lime,"(0, 1, 1)",2,8
rigotage,ligotage,ligoter,"(0, 1, 1)",2,8
ribérait,libérait,libre,"(0, 1, 1)",2,8
ribanais,libanais,liban,"(0, 1, 1)",2,8
leulrent,leurrent,leurre,"(0, 1, 1)",2,8
légèleté,légèreté,léger,"(0, 1, 1)",2,8
régalité,légalité,légal,"(0, 1, 1)",2,8
toyrnoie,tournoie,tour,"(0, 1, 1)",2,8
tortyeux,tortueux,tort,"(0, 1, 1)",2,8
spoltifs,sportifs,sport,"(0, 1, 1)",2,8
spatiare,spatiale,espace,"(0, 1, 1)",2,8
souvenil,souvenir,souven,"(0, 1, 1)",2,8
soyrdine,sourdine,sourd,"(0, 1, 1)",2,8
sowpière,soupière,soupe,"(0, 1, 1)",2,8
sowdures,soudures,soudre,"(0, 1, 1)",2,8
langyeur,langueur,languir,"(0, 1, 1)",2,8
tapaiemt,tapaient,tape,"(0, 1, 1)",2,8
tapageul,tapageur,tapage,"(0, 1, 1)",2,8
tachangt,tachant,tache,"(0, 1, 1)",2,8
sundique,syndique,syndic,"(0, 1, 1)",2,8
rampions,lampions,lampe,"(0, 1, 1)",2,8
laitewse,laiteuse,lait,"(0, 1, 1)",2,8
songewse,songeuse,songe,"(0, 1, 1)",2,8
jointule,jointure,joindre,"(0, 1, 1)",2,8
jaldinet,jardinet,jardin,"(0, 1, 1)",2,8
jaqwette,jaquette,jaque,"(0, 1, 1)",2,8
ilritant,irritant,irriter,"(0, 1, 1)",2,8
irognisa,ironisa,ironie,"(0, 1, 1)",2,8
succiong,succion,sucer,"(0, 1, 1)",2,8
stuliste,styliste,style,"(0, 1, 1)",2,8
stlident,strident,strid,"(0, 1, 1)",2,8
stimwlus,stimulus,stimuler,"(0, 1, 1)",2,8
stériret,stérilet,stérile,"(0, 1, 1)",2,8
laitelie,laiterie,lait,"(0, 1, 1)",2,8
raitance,laitance,lait,"(0, 1, 1)",2,8
raideron,laideron,laid,"(0, 1, 1)",2,8
jwstesse,justesse,juste,"(0, 1, 1)",2,8
trangcha,trancha,tranche,"(0, 1, 1)",2,8
trafiqyé,trafiqué,trafic,"(0, 1, 1)",2,8
vamiteux,vaniteux,vain,"(0, 1, 1)",2,8
imfernal,infernal,enfer,"(0, 1, 1)",2,8
infanant,infamant,infâme,"(0, 1, 1)",2,8
ingertie,inertie,inerte,"(0, 1, 1)",2,8
imtégral,intégral,intègre,"(0, 1, 1)",2,8
imfusion,infusion,infuser,"(0, 1, 1)",2,8
ingflige,inflige,infliger,"(0, 1, 1)",2,8
swmbiote,symbiote,symbi,"(0, 1, 1)",2,8
swivante,suivante,suivre,"(0, 1, 1)",2,8
imvasion,invasion,envahir,"(0, 1, 1)",2,8
intligua,intrigua,intrigue,"(0, 1, 1)",2,8
tsaliste,tsariste,tsar,"(0, 1, 1)",2,8
tloussée,troussée,trousse,"(0, 1, 1)",2,8
tlottina,trottina,trot,"(0, 1, 1)",2,8
tlottait,trottait,trot,"(0, 1, 1)",2,8
tlingler,tringler,tringle,"(0, 1, 1)",2,8
congvive,convive,vivre,"(1, 1, 0)",2,8
comtient,contient,tenir,"(1, 1, 0)",2,8
comjoint,conjoint,joindre,"(1, 1, 0)",2,8
vraimemt,vraiment,vrai,"(0, 1, 1)",2,8
vivifiel,vivifier,vivre,"(0, 1, 1)",2,8
visitamt,visitant,visite,"(0, 1, 1)",2,8
vieirlot,vieillot,vieux,"(0, 1, 1)",2,8
tairleur,tailleur,taille,"(0, 1, 1)",2,8
tabrette,tablette,table,"(0, 1, 1)",2,8
ingfinis,infinis,fin,"(1, 1, 1)",3,8
ingfinie,infinie,fin,"(1, 1, 1)",3,8
ingsensé,insensé,sentir,"(1, 1, 1)",3,8
veltébré,vertébré,vertèbre,"(0, 1, 1)",2,8
vegngeur,vengeur,venger,"(0, 1, 1)",2,8
valiable,variable,varier,"(0, 1, 1)",2,8
vapolisa,vaporisa,vapeur,"(0, 1, 1)",2,8
tendeuls,tendeurs,tendre,"(0, 1, 1)",2,8
tegndant,tendant,tendre,"(0, 1, 1)",2,8
tengante,tenante,tenir,"(0, 1, 1)",2,8
tenplier,templier,temple,"(0, 1, 1)",2,8
tatoweur,tatoueur,tatou,"(0, 1, 1)",2,8
tatoyage,tatouage,tatou,"(0, 1, 1)",2,8
tatirlon,tatillon,tat,"(0, 1, 1)",2,8
imagiels,imagiers,image,"(0, 1, 1)",2,8
imagelie,imagerie,image,"(0, 1, 1)",2,8
hwmilité,humilité,humble,"(0, 1, 1)",2,8
hwmidité,humidité,humide,"(0, 1, 1)",2,8
humamité,humanité,humain,"(0, 1, 1)",2,8
hyitième,huitième,huit,"(0, 1, 1)",2,8
hwitaine,huitaine,huit,"(0, 1, 1)",2,8
hwileuse,huileuse,huile,"(0, 1, 1)",2,8
extlaire,extraire,traire,"(1, 1, 0)",2,8
terribre,terrible,terr,"(0, 1, 1)",2,8
terrewse,terreuse,terre,"(0, 1, 1)",2,8
terraign,terrain,terre,"(0, 1, 1)",2,8
recowdre,recoudre,coudre,"(1, 1, 0)",2,8
lechange,rechange,changer,"(1, 1, 0)",2,8
plologue,prologue,logue/ie,"(1, 1, 0)",2,8
poulvoir,pourvoir,voir,"(1, 1, 0)",2,8
powrsuit,poursuit,suivre,"(1, 1, 0)",2,8
poulsuis,poursuis,être,"(1, 1, 0)",2,8
pancalte,pancarte,carte,"(1, 1, 0)",2,8
inytiles,inutiles,utile,"(1, 1, 0)",2,8
houreuse,houleuse,houle,"(0, 1, 1)",2,8
hôteliel,hôtelier,hôtel,"(0, 1, 1)",2,8
temtants,tentants,tenter,"(0, 1, 1)",2,8
tengsion,tension,tendre,"(0, 1, 1)",2,8
tengdons,tendons,tendre,"(0, 1, 1)",2,8
tondeyse,tondeuse,tondre,"(0, 1, 1)",2,8
tongbale,tombale,tombe,"(0, 1, 1)",2,8
holloger,horloger,horloge,"(0, 1, 1)",2,8
hontewse,honteuse,honte,"(0, 1, 1)",2,8
honicide,homicide,homo,"(0, 1, 1)",2,8
hivernge,hiverne,hiver,"(0, 1, 1)",2,8
hippiqye,hippique,hipp,"(0, 1, 1)",2,8
hilalité,hilarité,hilare,"(0, 1, 1)",2,8
hirarant,hilarant,hilare,"(0, 1, 1)",2,8
héroïqwe,héroïque,héro,"(0, 1, 1)",2,8
hélitage,héritage,hériter,"(0, 1, 1)",2,8
hélisson,hérisson,hérisser,"(0, 1, 1)",2,8
hélédité,hérédité,hériter,"(0, 1, 1)",2,8
tinidité,timidité,timide,"(0, 1, 1)",2,8
tiglesse,tigresse,tigre,"(0, 1, 1)",2,8
thésalds,thésards,thée,"(0, 1, 1)",2,8
toulnure,tournure,tour,"(0, 1, 1)",2,8
impuleté,impureté,pur,"(1, 1, 1)",3,8
impumité,impunité,pun,"(1, 1, 1)",3,8
impursif,impulsif,puls,"(1, 1, 1)",3,8
impydeur,impudeur,pudeur,"(1, 1, 1)",3,8
inposant,imposant,poser,"(1, 1, 1)",3,8
toyrnage,tournage,tour,"(0, 1, 1)",2,8
towriste,touriste,tour,"(0, 1, 1)",2,8
toulisme,tourisme,tour,"(0, 1, 1)",2,8
tourerle,tourelle,tour,"(0, 1, 1)",2,8
toyillée,touillée,touiller,"(0, 1, 1)",2,8
totarité,totalité,total,"(0, 1, 1)",2,8
torsiong,torsion,tordre,"(0, 1, 1)",2,8
tonnerle,tonnelle,tonneau,"(0, 1, 1)",2,8
tomnelet,tonnelet,tonneau,"(0, 1, 1)",2,8
tongnage,tonnage,tonne,"(0, 1, 1)",2,8
tribumal,tribunal,tribune,"(0, 1, 1)",2,8
tleillis,treillis,treill,"(0, 1, 1)",2,8
tlaqueur,traqueur,traquer,"(0, 1, 1)",2,8
trappewr,trappeur,trappe,"(0, 1, 1)",2,8
