Word,Structure,Prefix_Frequency,Root_Frequency,Suffix_Frequency,Word_Length
ab(ouïr)oi,prs,1.44,6.6,5.84,8
a(lyre)elé,prs,2142.22,1.76,1.14,8
a(garde)al,prs,2142.22,487.1,1125.04,8
é(fixe)mat,prs,320.17,20.92,1.37,8
ad(vitre)u,prs,28.56,26.1899999999999,21.57,8
eu(opus)um,prs,1.11,0.35,10.79,8
ad(duct)ar,prs,28.56,0.45,1.54,8
su(gars)oi,prs,0.0,542.719999999999,5.84,8
eu(pen)ole,prs,1.11,0.2,10.76,8
bi(voy)aul,prs,13.32,30.5,1.35,8
bi(noyau)i,prs,13.32,4.16,9.2,8
su(gué)ané,prs,0.0,1.0,6.66,8
vi(chic)ir,prs,0.41,23.81,168.27,8
su(zoom)ar,prs,0.0,2.27,1.54,8
é(terri)re,prs,320.17,11.88,17.02,8
sau(ému)er,prs,0.04,10.74,316.04,8
(érudit)ir,rs,,2.22,168.27,8
ad(con)iér,prs,28.56,120.03,0.01,8
vi(vos)ide,prs,0.41,649.07,29.06,8
ob(cyan)in,prs,0.93,2.23,109.48,8
en(mec)ait,prs,2094.69,325.55,0.0,8
é(trône)ar,prs,320.17,14.29,1.54,8
re(orque)o,prs,6595.02,1.43,64.91,8
ob(luge)er,prs,0.93,1.22,316.04,8
vi(foc)ème,prs,0.41,0.29,1.54,8
sau(comte),pr,0.04,38.74,,8
ex(verb)el,prs,79.38,0.92,1103.39999999999,8
en(saule)m,prs,2094.69,1.9,1.33,8
a(onze)èle,prs,2142.22,14.28,3.87,8
(beige)ing,rs,,1.3,68.61,8
ab(tige)ir,prs,1.44,3.73,168.27,8
é(algue)an,prs,320.17,2.65,29.2899999999999,8
con(sac)in,prs,190.18,132.13,109.48,8
mi(ma)ende,prs,38.47,2670.39,0.03,8
co(égout)u,prs,73.72,7.02,21.57,8
eu(an)éria,prs,1.11,1293.42,4.08,8
en(ère)age,prs,2094.69,12.91,707.48,8
a(vomir)is,prs,2142.22,27.7699999999999,19.93,8
ex(rue)sse,prs,79.38,165.25,37.89,8
eu(orb)ars,prs,1.11,0.29,1.08,8
(bique)oie,rs,,0.59,0.04,8
a(nez)rium,prs,2142.22,76.67,3.94,8
mé(gong)oy,prs,36.91,2.35,0.79,8
a(surf)ium,prs,2142.22,10.86,6.47999999999999,8
au(céder)é,prs,87.29,66.31,846.24,8
é(pape)eau,prs,320.17,7.17,436.9,8
sé(vitre)s,prs,1.22,26.1899999999999,2.31,8
mé(sien)as,prs,36.91,39.21,0.05,8
bis(joue)o,prs,0.03,41.03,64.91,8
mi(pneu)if,prs,38.47,13.43,409.409999999999,8
syn(bal)en,prs,28.31,30.24,22.18,8
bis(et)ail,prs,0.03,12909.08,29.13,8
ob(révol)},prs,0.93,29.23,0.21,8
a(pilier)},prs,2142.22,3.82,0.21,8
ver(un)ure,prs,0.98,21122.25,595.65,8
in(pen)eul,prs,1478.96,0.2,2.42,8
en(tut)ose,prs,2094.69,0.69,12.7,8
re(cri)ait,prs,6595.02,161.779999999999,0.0,8
au(rude)el,prs,87.29,9.77,1103.39999999999,8
ab(peur)é2,prs,1.44,562.03,2.42,8
é(tenue)on,prs,320.17,37.76,331.19,8
dé(cas)ané,prs,1752.69,298.53,6.66,8
ex(tel)ace,prs,79.38,341.97,28.65,8
dys(lit)ïa,prs,0.86,199.809999999999,2.03,8
co(poids)},prs,73.72,34.98,0.21,8
au(cela)oy,prs,87.29,492.86,0.79,8
re(lacer)i,prs,6595.02,7.24,9.2,8
ab(rade)ïa,prs,1.44,2.34,2.03,8
ver(cime)s,prs,0.98,1.78,2.31,8
dia(écu)et,prs,19.02,1.48,229.51,8
syn(gai)er,prs,28.31,25.5999999999999,316.04,8
ob(sel)ois,prs,0.93,31.2999999999999,80.02,8
co(le)ième,prs,73.72,17017.81,159.55,8
(mare)aire,rs,,10.09,853.76,8
mé(gui)acé,prs,36.91,2.9,0.06,8
a(jur)oire,prs,2142.22,3.34999999999999,114.259999999999,8
é(sur)enée,prs,320.17,2721.72,0.03,8
ab(mess)ar,prs,1.44,1.74,1.54,8
en(abol)in,prs,2094.69,0.55,109.48,8
anti(équ)m,prs,9.51,5.7,1.33,8
(belge)ais,rs,,5.02999999999999,98.63,8
mé(goût)il,prs,36.91,140.22,12.29,8
vi(caco)ir,prs,0.41,0.04,168.27,8
(smic)atum,rs,,0.03,1.23,8
é(jeton)al,prs,320.17,2.88,1125.04,8
sau(frère),pr,0.04,405.449999999999,,8
a(sect)mat,prs,2142.22,1.44,1.37,8
(ship)cule,rs,,0.38,5.41,8
sé(hémo)oi,prs,1.22,9.85,5.84,8
ver(séc)ex,prs,0.98,0.15,0.42,8
as(hors)um,prs,248.66,71.94,10.79,8
bi(aimer)é,prs,13.32,1744.53,846.24,8
ex(lut)elé,prs,79.38,0.5,1.14,8
ex(bip)acé,prs,79.38,6.99,0.06,8
vi(sey)eux,prs,0.41,0.02,1027.7,8
é(flocon)},prs,320.17,2.65999999999999,0.21,8
dé(tén)et1,prs,1752.69,0.89,1.48,8
dé(cosm)oy,prs,1752.69,2.18,0.79,8
bi(pas)eux,prs,13.32,18315.21,1027.7,8
a(brief)ar,prs,2142.22,3.67999999999999,1.54,8
su(sauna)u,prs,0.0,3.45,21.57,8
anté(pri)u,prs,8.42,0.67,21.57,8
ob(pro)eut,prs,0.93,14.45,6.61,8
en(foi)eur,prs,2094.69,54.06,2127.06,8
é(talc)ose,prs,320.17,1.4,12.7,8
(envoi)ole,rs,,7.18,10.76,8
ad(ère)ûre,prs,28.56,12.91,7.59,8
pro(gon)ce,prs,37.76,0.21,0.38,8
pén(tir)el,prs,2.1,507.719999999999,1103.39999999999,8
mi(pré)et1,prs,38.47,21.59,1.48,8
syn(la)ois,prs,28.31,16097.02,80.02,8
(néon)otte,rs,,1.81999999999999,3.13,8
eu(soie)at,prs,1.11,10.42,166.91,8
su(pano)re,prs,0.0,1.11,17.02,8
é(cyn)ario,prs,320.17,7.67,21.85,8
con(blé)ir,prs,190.18,19.98,168.27,8
hémi(puls),pr,1.0,39.43,,8
ab(on)urne,prs,1.44,8589.96,6.09,8
mi(lésion),pr,38.47,4.38,,8
ex(soie)ce,prs,79.38,10.42,0.38,8
bi(on)iste,prs,13.32,8589.96,322.749999999999,8
sur(tilt)m,prs,248.22,1.11,1.33,8
ex(opter)é,prs,79.38,13.31,846.24,8
(missel)ir,rs,,0.53,168.27,8
vi(quai)if,prs,0.41,14.01,409.409999999999,8
épi(lit)ie,prs,1.27,199.809999999999,435.78,8
su(truc)as,prs,0.0,384.45,0.05,8
as(équ)ène,prs,248.66,5.7,1.21,8
a(poêle)ol,prs,2142.22,5.13,39.3799999999999,8
pén(la)ate,prs,2.1,16097.02,4.15,8
é(mode)ion,prs,320.17,33.64,3498.54,8
sur(ci)ade,prs,248.22,10.23,65.47,8
en(zen)ème,prs,2094.69,3.47,1.54,8
per(slow)u,prs,1.01,0.1,21.57,8
bis(rime)i,prs,0.03,9.04,9.2,8
ex(râble)},prs,79.38,0.02,0.21,8
a(pu)iller,prs,2142.22,373.94,3.80999999999999,8
mé(jeu)nce,prs,36.91,160.31,1491.29,8
eu(faux)oi,prs,1.11,142.13,5.84,8
mi(dodo)is,prs,38.47,7.52,19.93,8
pén(mir)um,prs,2.1,28.85,10.79,8
ob(caïd)um,prs,0.93,2.63,10.79,8
péri(ne)ce,prs,6.71,13357.03,0.38,8
é(gril)ine,prs,320.17,0.64,56.3199999999999,8
sé(il)aire,prs,1.22,16298.41,853.76,8
(harki)ien,rs,,0.0,291.01,8
(exor)oure,rs,,0.66,2.78,8
(face)aine,rs,,162.13,72.1799999999999,8
ob(bled)ex,prs,0.93,5.55,0.42,8
hyper(tu)o,prs,1.93,14669.79,64.91,8
as(bien)en,prs,248.66,4593.32,22.18,8
é(pair)end,prs,320.17,27.4399999999999,14.51,8
bi(toast)o,prs,13.32,16.77,64.91,8
au(gonz)ar,prs,87.29,11.3,1.54,8
mi(toc)ard,prs,38.47,8.45999999999999,113.07,8
ab(ligne)u,prs,1.44,108.109999999999,21.57,8
en(orium)é,prs,2094.69,1.59,846.24,8
ex(perso)é,prs,79.38,2.33,846.24,8
a(sketch)é,prs,2142.22,1.5,846.24,8
(poney)eau,rs,,4.8,436.9,8
(boire)oit,rs,,647.84,0.05,8
