Word,Wordlength,Length,Frequency,Morphology,Structure,Lexicality,Frequency,Zipf Frequency,Condition,Lemma,Zipf Lemma Frequency,Phonemes,num_phonemes,num_syllables,Difference,,,,,Comments/Suggestions
musclé,6,short,low,complex,rs,real,low,3.43,RSLC,muscle,3.82,myskle,6,2,4,,,,,
cireux,6,short,low,complex,rs,real,low,1.95,RSLC,cire,3.79,siʁø,4,2,2,,,,,
mielleux,8,long,low,complex,rs,real,low,2.52,RLLC,miel,4.15,mjɛlø,5,2,3,,,,,
dévotion,8,long,low,complex,prs,real,low,3.46,RLLC,dévote,2.44,devosjɔ̃,8,3,5,,,,,
pulpeuse,8,long,low,complex,rs,real,low,2.65,RLLC,pulpe,3.13,pylpøz,6,2,4,,,,,
inhabité,8,long,low,complex,prs,real,low,2.48,RLLC,habiter,3.9,inabite,7,4,3,,,,,
tatoueur,8,long,low,complex,ts,real,low,2.77,RLLC,tatou,2.54,tatwœʁ,6,2,4,,,,,
décompose,9,long,low,complex,pr,real,low,3.25,RLLC,compose,4.13,dekɔ̃pɔz,8,3,5,,,,,
tolérable,9,long,low,complex,rs,real,low,2.85,RLLC,tolérer,3.55,toleʁabl,8,3,5,,,,,
indiscret,9,long,low,complex,pr,real,low,3.11,RLLC,discret,4.07,ɛ̃diskʁɛ,8,3,5,,,,,
grillagée,9,long,low,complex,rss,real,low,2.18,RLLC,grill,3.18,ɡʁijaʒe,7,2,5,,,,,
surestimé,9,long,low,complex,prs,real,low,2.76,RLLC,estimer,3.93,syʁɛstime,9,4,5,,,,,
banalement,10,long,low,complex,rss,real,low,2.01,RLLC,banal,3.77,banalmɑ̃,8,4,4,,,,,
spongieuse,10,long,low,complex,rs,real,low,1.91,RLLC,éponge,3.73,spɔ̃ʒjøz,8,2,6,,,,,
grumeleuse,10,long,low,complex,rs,real,low,1.57,RLLC,grumel,1.25,ɡʁymløz,7,3,4,,,,,
décrochage,10,long,low,complex,prs,real,low,3.21,RLLC,croche,2.94,dekʁoʃaʒ,8,3,5,,,,,
transperce,10,long,low,complex,pr,real,low,2.62,RLLC,transpercer,2.54,tʁɑ̃spɛʁs,9,2,7,,,,,
abus,4,short,high,simple,r,real,high,4.44,RSHS,abus,4.44,aby,3,1,2,,,,,
acte,4,short,high,simple,r,real,high,4.79,RSHS,acte,4.79,akt,3,1,2,,,,,
sale,4,short,high,simple,r,real,high,4.62,RSHS,sale,4.62,sal,3,1,2,,,,,
tard,4,short,high,simple,r,real,high,5.34,RSHS,tard,5.34,taʁ,3,1,2,,,,,
taxe,4,short,high,simple,r,real,high,4.49,RSHS,taxe,4.49,taks,4,1,3,,,,,
aussi,5,short,high,simple,r,real,high,6.19,RSHS,aussi,6.19,osi,3,2,1,,,,,
bravo,5,short,high,simple,r,real,high,4.54,RSHS,bravo,4.54,bʁavo,5,2,3,,,,,
heure,5,short,high,simple,r,real,high,5.39,RSHS,heure,5.39,œʁ,2,1,1,,,,,
hôtel,5,short,high,simple,r,real,high,4.97,RSHS,hôtel,4.97,otɛl,4,2,2,,,,,
poule,5,short,high,simple,r,real,high,4.21,RSHS,poul,4.21,pul,3,1,2,,,,,
argent,6,short,high,simple,r,real,high,5.37,RSHS,argent,5.37,aʁʒɑ̃,5,2,3,,,,,
beurre,6,short,high,simple,r,real,high,4.29,RSHS,beurre,4.29,bœʁ,3,1,2,,,,,
guerre,6,short,high,simple,r,real,high,5.42,RSHS,guerre,5.42,ɡɛʁ,3,1,2,,,,,
preuve,6,short,high,simple,r,real,high,4.95,RSHS,preuve,4.95,pʁøv,4,1,3,,,,,
sombre,6,short,high,simple,r,real,high,4.42,RSHS,sombre,4.42,sɔ̃bʁ,5,1,4,,,,,
dimanche,8,long,high,simple,r,real,high,5.03,RLHS,dimanche,5.03,dimɑ̃ʃ,6,2,4,,,,,
poubelle,8,long,high,simple,r,real,high,4.07,RLHS,poubelle,4.07,pubɛl,5,2,3,,,,,
problème,8,long,high,simple,r,real,high,5.41,RLHS,problème,5.41,pʁɔblɛm,7,2,5,,,,,
complexe,8,long,high,simple,r,real,high,4.66,RLHS,complexe,4.66,kɔ̃plɛks,8,2,6,,,,,
scandale,8,long,high,simple,r,real,high,4.34,RLHS,scandale,4.34,skɑ̃dal,7,2,5,,,,,
bouteille,9,long,high,simple,r,real,high,4.41,RLHS,bouteille,4.41,butɛj,5,2,3,,,,,
capitaine,9,long,high,simple,r,real,high,4.78,RLHS,capitaine,4.78,kapitɛn,7,3,4,,,,,
caractère,9,long,high,simple,r,real,high,4.8,RLHS,caractère,4.8,kaʁaktɛʁ,8,3,5,,,,,
catalogue,9,long,high,simple,r,real,high,4.29,RLHS,catalogue,4.29,kataloɡ,7,3,4,,,,,
phénomène,9,long,high,simple,r,real,high,4.62,RLHS,phénomène,4.62,fenomɛn,7,3,4,,,,,
cathédrale,10,long,high,simple,r,real,high,4.17,RLHS,cathédral,4.17,katedʁal,8,3,5,,,,,
diagnostic,10,long,high,simple,r,real,high,4.19,RLHS,diagnostic,4.19,djaɡnɔstik,10,3,7,,,,,
entreprise,10,long,high,simple,r,real,high,5.25,RLHS,entreprise,5.25,ɑ̃tʁəpʁiz,9,3,6,,,,,
secrétaire,10,long,high,simple,r,real,high,4.8,RLHS,secrétaire,4.8,səkʁetɛʁ,8,3,5,,,,,
tranquille,10,long,high,simple,r,real,high,4.59,RLHS,tranquille,4.59,tʁɑ̃kil,7,2,5,,,,,
âpre,4,short,low,simple,r,real,low,3.05,RSLS,âpre,3.05,aːpʁ,4,1,3,,,,,
mule,4,short,low,simple,r,real,low,3.17,RSLS,mule,3.17,myl,3,1,2,,,,,
ogre,4,short,low,simple,r,real,low,3.26,RSLS,ogre,3.26,ɔɡʁ,3,1,2,,,,,
orme,4,short,low,simple,r,real,low,2.94,RSLS,orme,2.94,ɔʁm,3,1,2,,,,,
ride,4,short,low,simple,r,real,low,3.42,RSLS,rid,3.42,ʁid,3,1,2,,,,,
craie,5,short,low,simple,r,real,low,3.32,RSLS,craie,3.32,kʁɛ,3,1,2,,,,,
divan,5,short,low,simple,r,real,low,3.34,RSLS,divan,3.34,divɑ̃,5,2,3,,,,,
écrou,5,short,low,simple,r,real,low,2.93,RSLS,écrou,2.93,ekʁu,4,1,3,,,,,
pitre,5,short,low,simple,r,real,low,3.19,RSLS,pitr,3.19,pitʁ,4,1,3,,,,,
valse,5,short,low,simple,r,real,low,3.36,RSLS,valse,3.36,vals,4,1,3,,,,,
acajou,6,short,low,simple,r,real,low,2.99,RSLS,acajou,2.99,akaʒu,5,2,3,,,,,
magnat,6,short,low,simple,r,real,low,3.09,RSLS,magnat,3.09,manja,5,2,3,,,,,
ovaire,6,short,low,simple,r,real,low,2.93,RSLS,ovaire,2.93,ovɛʁ,4,1,3,,,,,
pâture,6,short,low,simple,r,real,low,3.05,RSLS,pâtur,3.05,patyʁ,5,2,3,,,,,
pollen,6,short,low,simple,r,real,low,3.35,RSLS,pollen,3.35,pɔlɛn,5,2,3,,,,,
brouhaha,8,long,low,simple,r,real,low,3.04,RLLS,brouhaha,3.04,bʁuaa,5,3,2,,,,,
crevette,8,long,low,simple,r,real,low,3.18,RLLS,crevette,3.18,kʁəvɛt,6,2,4,,,,,
emeraude,8,long,low,simple,r,real,low,2.41,RLLS,emeraude,2.41,emɛʁod,6,2,4,,,,,
salpêtre,8,long,low,simple,r,real,low,2.42,RLLS,salpêtre,2.42,salpɛtʁ,7,2,5,,,,,
scélérat,8,long,low,simple,r,real,low,2.7,RLLS,scélérat,2.7,seleʁa,6,3,3,,,,,
écoutille,9,long,low,simple,r,real,low,2.26,RLLS,écoutille,2.26,ekutij,6,2,4,,,,,
écrevisse,9,long,low,simple,r,real,low,2.7,RLLS,écrevisse,2.7,ekʁəvis,7,2,5,,,,,
esclandre,9,long,low,simple,r,real,low,2.41,RLLS,esclandre,2.41,ɛsklɑ̃dʁ,8,2,6,,,,,
gingembre,9,long,low,simple,r,real,low,3.2,RLLS,gingembre,3.2,ʒɛ̃ʒɑ̃bʁ,8,2,6,,,,,
spaghetti,9,long,low,simple,r,real,low,3.25,RLLS,spaghetti,3.25,spaɡɛti,7,3,4,,,,,
bredouille,10,long,low,simple,r,real,low,2.73,RLLS,bredouille,2.73,bʁəduj,6,2,4,,,,,
corbillard,10,long,low,simple,r,real,low,2.59,RLLS,corbillard,2.59,kɔʁbijaʁ,8,2,6,,,,,
marjolaine,10,long,low,simple,r,real,low,2.69,RLLS,marjolain,2.69,maʁʒolɛn,8,3,5,,,,,
musaraigne,10,long,low,simple,r,real,low,2.04,RLLS,musaraigne,2.04,myzaʁɛɲ,7,3,4,,,,,
beaujolais,10,long,low,simple,r,real,low,3.3,RLLS,beaujolais,3.3,boʒolɛ,6,3,3,,,,,
